hotel proper hygiene protect covid staff trainee friendly great taste breakfast delicious rice bowl bed comfortable comfy service team members excellent especially restaurant pool angkringan joyful,0.0,0.437,0.563,0.9764
go whole family vacation yogyakarta many hotels choose decide stay hyatt regency location initially experience get expect especially facilities,0.0,1.0,0.0,0.0
decide stay know interior date need renovation still like stay future hotel good staff one best outdoor facility city,0.0,0.625,0.375,0.8625
good view nice swim pool area walk jog track enjoy cool air among tree good traditional food like getuk nice staff good service find peace hyatt jogja back visit jogja see soon,0.0,0.471,0.529,0.9744
hotel nice especially outdoor facilities like jog track bike rental swim pool enjoy beautiful view well manage garden golf course merapi mountain background,0.0,0.549,0.451,0.9295
best service hotel staff nice escort front desk door room detail explanation facilities comfort cleanliness guarantee pandemic,0.0,0.531,0.469,0.8885
service hyatt regency good hotel also good especially large swim pool golf court offer upgrade club house get good complimentary quite worthed like enjoy cocktails afternoon overall service hotel good especially restaurant,0.0,0.547,0.453,0.9625
experience stay hotel hyatt jogja pleasant moment atmosphere comfortable close city yogyakarta large green space golf course swim pool love cycle morning around green route get fresh air oxygen lush green view,0.0,0.681,0.319,0.9201
wonderful stay hyatt yogyakarta make days beautiful surround include golf view beautiful huge pool tennis court grab wheel kid enjoy facilities favorite tarzan rope pool back,0.0,0.5,0.5,0.9638
room get date facilities great guest recovery service not good not receive anything except apology keycard program wrongly twice besides front desk department service great,0.073,0.64,0.287,0.7902
many activities kid vacation interest bicycle rid mini golf swim pool hot stone lobster good room hotel little bite old maintenance good thank hospitality,0.0,0.639,0.361,0.8834
stay hotel visit yogya reason daughter love swim pool swim pool large long slide balcony nice view also ride bicyle scooter jog track,0.0,0.75,0.25,0.7906
big outdoor area various family activities perfect bring family new normal era children love pool game activity rental schooter also bike free use hours,0.0,0.652,0.348,0.9042
complaint hotel facilities surround huge green garden offer activities restaurants good food try bogey kemangi staff helpful responsive room ammenities complete star rat due old condition room need major upgrade room phone break tv remote break well sofa see better days bed still okay pillow lumpy furnitures wear mind stay deluxe room maybe higher room class condition better,0.031,0.685,0.284,0.9442
clean satysfy thx u kindly staff make family happy helpful mybe next request choice type room not available thankyouu breakfast many menu local food,0.0,0.547,0.453,0.9313
check tell room upgrade especially guest several experience stay hyatt jogja hotel distribute free hand sanitizers mask guests staff friendly helpful room instal sanitary stickers food drink breakfast quite vary food drink order room also taste ok facilities complete wide landscape great view golf course playground grab wheel swim pool etc suitable family vacation children generally satisfy stay hyatt,0.0,0.705,0.295,0.9674
staff kind friedly always smile helpful check process take long time minutes wait minutes room would not ready,0.085,0.564,0.351,0.7643
overall meet expectation althought pandemic moment still actitfities public area without worry hyatt run covid protocol example breakfast time selfservice servered,0.0,0.893,0.107,0.3412
overall service cleanliness room etc good bad experience housekeep staff room clean not give new slippers room time ask new slippers wait almost hour,0.116,0.698,0.186,0.2732
definitely back soon everything good hotel family friendly large pool large garden room clean amenities complete even provide iron board room,0.0,0.596,0.404,0.8885
good health protocol covid pandemic make feel safe stay nice spend time family clean tidy friendly staff recommend thank,0.0,0.381,0.619,0.9552
room old swim pool slippery need clean gym sauna old look dirty hotel host weddings dog show stay would appreciate warn guests would host big events covid period,0.128,0.712,0.16,0.2732
staff friendly helpfull really love view bathroom enjoy stay sisters bridal shower room fun ask lot help telephone receptionist answer well,0.0,0.441,0.559,0.9583
great hotel nice environment view mount merapi lobby service excellent ease check check food good many activities join include cycle morning,0.0,0.42,0.58,0.9538
staff room ambience foods everything great hyatt give best stay experience crazy time really enjoy stay certainly come back stay hyatt regency come jogja,0.067,0.53,0.403,0.9195
hotel like picture breathtaking view landscape hotel look old still well maintain everything function perfectly bed pillow comfortable even extra bed good sleep really enjoy facilities especially swim pool staff nice breakfast delicious eventhough quite surprise varieties not much regular buffet understand maybe covid time try manage simple breakfast still health protocols way one thing quite dissapointed find glass room still dirty coffee stain still overall great experience stay go back sure span span hellip,0.029,0.61,0.362,0.986
beautiful view complete golf course perfect honeymoon staff really care need especially trainee name reza help lot also staff give us beautiful flower arrangments surprise gift check,0.0,0.468,0.532,0.9709
excellent service clean room also already comply health protocol respect covid protocol absolutely enjoy also like location hotel overall excellent,0.0,0.418,0.582,0.961
star little generous amaze staff nice pool decent food save review hotel room outdated somewhat musty ask staff say years since renovate show thing worse room fitness center really small room dingy carpet two older treadmills outdated weight,0.063,0.647,0.29,0.8815
stay hotel daughters take room regency club unfortunately hot water not good seem need improve bed need change quiet old guess bed linen well enjoy breakfast overall menu good,0.188,0.599,0.213,0.2472
great big hotel middle city condition hotel quite old good maintenance care family experience good staycation good environment big green environment around hotel,0.0,0.517,0.483,0.9504
come intimate wed party stay night family love room foodis delicious everyone kind helpful would love come another occasion thankyou,0.0,0.4,0.6,0.9682
expect much facilities hyatt regency sastifying us hope stay hyatt soon enjoy swim pool rid bicycle also enjoy vibes room,0.0,0.646,0.354,0.8519
good experience quot staycation quot pandemic era hospitality overall service maintain best quality approach warm welcome kid family friendly lot laughter happiness many thank hyatt regency yogya back,0.0,0.449,0.551,0.9735
perfect choice want enjoy stay beautiful hotel nature surround enjoy nights stay whole family baby kid staff friendly helpful accomodate need swim pool awesome definitely come back,0.0,0.39,0.61,0.9801
almost weeks oct oct stay hyatt regency love hotel food set menu surprise indonesian taste love hotel facilities golf course swim pool jog track gym bike mini bar,0.0,0.704,0.296,0.8885
actually not first time stay satisfy always nice helpful staff beautiful view old build hotel service gold worth stay vacation thank,0.0,0.47,0.53,0.9423
hotel family friendly peaceful athmosphere pool best choose outdoor area breakfast sensation breakfast tree poolside however provide limit menu variance breakfast menu stay days also find closet room clog also need ask doormat bathroom provide first day stay,0.0,0.768,0.232,0.891
hotel facilities really excellent food offer convenient appropriate western travellers want variations beyond delicious indonesia food hole golf course surround hotel pool absolutely beautiful many nice corner provide alternatives sun shade group friends isolate,0.037,0.561,0.402,0.9555
nice make happy moms beautiful place take rest fun yogya swim relax hot pool become good memory quality time moms sisters,0.0,0.435,0.565,0.9612
love room good breakfast nice facilities great view staff friendly amp warm unfortunately due low occupancy pandemic limit hot water shower understand safe opex,0.108,0.361,0.53,0.9552
largest hotel yogyakarta open space lot door activites golf jog feed fish play turtle fish lot great experience strict health protocol keep us safe come future,0.0,0.71,0.29,0.8555
ithe hotel large area include golf field back landscape green full tree garden pool complete facilities suitable family kid business meet leisure love surely come back,0.0,0.772,0.228,0.7964
hotel close several decent eateries ikan bakar cianjur nasi uduk palagan iga sapi bali hotel side side golf court despite nearby palagan rather crowd bustle feel like different seclude peaceful region great huge swim pool gym available hours fish pond along many facilities since visit pandemic upon enter premise temperature scan compulsory hand wash sanitizer available provide scuba face mask pocket size hand sanitizer upon check hotel claim frequently touch surface hotel premise sanitize hourly room seem sanitize seal door prior check hotel build age well span span hellip,0.0,0.799,0.201,0.9618
love relax ambiance excite experience well friendly staff amenities also become highlight trip hyatt already provide everything need one magic box even though room interior still feel classy old not affect sleep quality first time stay hyatt would love come someday,0.0,0.569,0.431,0.975
staff friendly helpful best place staycation hotel big swim pooln garden big ambience good facilities like jog track bicycle golf pretty good try,0.0,0.424,0.576,0.967
wonderful experience wth family also son really love pool next vacation really put hotel priority plan u want taste food suggest banana flitter nasi goreng kampoeng,0.1,0.62,0.28,0.7264
really enjoy stay hectare hotel hospitality impressive staff friendly helpful breakfast serve various quality items get bore request simple dish wonton soup fry noodle etc room package include rice bowl dinner kinds rice bowl menu choose delicious years operation hotel need remodel indeed still everything still run well clean around hotel area place extremely recommend,0.028,0.638,0.334,0.9686
spend birthday trip year staycation hotel actually want enjoy ramayana ballet dinner afternoon tea facilities not open due covid best thing staff make nasi tumpeng birthday really touch,0.0,0.742,0.258,0.8271
want say excellent place not new build maintenance resort keep good condition hectares land not enough stay one night explore resort feel like whatever want thats food presentation breakfast complete delicious specially come summer session weather indonesia really recommend staff warm helpful lot activities hotel bike fish also play golf resort,0.0,0.616,0.384,0.9704
memorable experience stay days clean hotel friendly staff food everything ok special thank front office staff duhita lovas cant wait stay see u soon,0.0,0.575,0.425,0.9062
